"Row","FIPS","GENC","Country/Area Name","Year","Population","Annual Growth Rate %","Area (sq km)","Density (per sq km)","Total Fertility Rate","Life Expectancy at Birth","Under-5 Mortality Rate"
"1","AF","AF","Afghanistan","1990","13568282","-1.928","652230","20.8","8","42.19","251.3"
"2","AF","AF","Afghanistan","1991","13671918","3.43","652230","21","8","42.69","246.29"
"3","AF","AF","Afghanistan","1992","15023317","14.87","652230","23","8","42.99","243.38"
"4","AF","AF","Afghanistan","1993","17003437","10.153","652230","26.1","8","43.29","240.49"
"5","AF","AF","Afghanistan","1994","18486041","6.702","652230","28.3","8","43.59","237.62"
"6","AF","AF","Afghanistan","1995","19445013","3.492","652230","29.8","8","43.88","234.78"
"7","AF","AF","Afghanistan","1996","20110508","3.242","652230","30.8","8","44.17","231.98"
"8","AF","AF","Afghanistan","1997","20769357","3.206","652230","31.8","8","44.51","228.82"
"9","AF","AF","Afghanistan","1998","21451549","3.257","652230","32.9","8","44.83","225.7"
"10","AF","AF","Afghanistan","1999","22205667","3.646","652230","34","8","45.16","222.61"
"11","AF","AF","Afghanistan","2000","22461349","-1.328","652230","34.4","8","45.49","219.57"
"12","AF","AF","Afghanistan","2001","22507266","1.733","652230","34.5","7.2","45.81","216.56"
"13","AF","AF","Afghanistan","2002","23599230","7.601","652230","36.2","6","46.1","213.89"
"14","AF","AF","Afghanistan","2003","25003784","4.061","652230","38.3","6.58","46.39","211.24"
"15","AF","AF","Afghanistan","2004","25695673","1.434","652230","39.4","6.4753","46.68","208.63"
"16","AF","AF","Afghanistan","2005","26332646","3.439","652230","40.4","6.3707","47.06","205.41"
"17","AF","AF","Afghanistan","2006","27152418","2.704","652230","41.6","6.266","47.44","202.26"
"18","AF","AF","Afghanistan","2007","27385162","-0.981","652230","42","6.1628","47.81","199.15"
"19","AF","AF","Afghanistan","2008","27703539","3.268","652230","42.5","6.0596","48.19","196.06"
"20","AF","AF","Afghanistan","2009","28480801","2.279","652230","43.7","5.9564","48.56","193.03"
"21","AF","AF","Afghanistan","2010","29116851","2.139","652230","44.6","5.8532","48.93","190.04"
"22","AF","AF","Afghanistan","2011","29752169","2.177","652230","45.6","5.75","49.32","186.89"
